date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:09	238216/238216	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html	(from )
09:33:11	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2014%20Jul%202023%2023:20:54%20GMT	https://profwarles.blogspot.com/robots.txt		(from )
09:33:12	35960/35960	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2012:50:52%20GMT	https://www.blogger.com/static/v1/widgets/3566091532-css_bundle_v2.css	C:/Users/Marciano/Desktop/war/www.blogger.com/static/v1/widgets/3566091532-css_bundle_v2.css	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:13	25912/25912	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2015%20Jul%202023%2012:33:15%20GMT	https://profwarles.blogspot.com/2017/04/%20https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img1_quiz1_Port_3(E.F).png%20	C:/Users/Marciano/Desktop/war/profwarles.blogspot.com/2017/04/%20https_/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img1_quiz1_Port_3(E.F).2.delayed	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:14	1295/1295	---M--	200	added ('OK')	image/png	etag:%22v2ad%22	https://4.bp.blogspot.com/-hNQGtKaHakU/VwV7JQ0XS8I/AAAAAAAAAqw/NIB_1RgJfLktrMQJ2nRG6gNdFgyn75v7A/s0-r/verde+claro++++.png	C:/Users/Marciano/Desktop/war/4.bp.blogspot.com/-hNQGtKaHakU/VwV7JQ0XS8I/AAAAAAAAAqw/NIB_1RgJfLktrMQJ2nRG6gNdFgyn75v7A/s0-r/verde%20claro%20%20%20%20.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:14	96/96	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Jul%202023%2005:50:10%20GMT	http://www.blogblog.com/1kt/transparent/black50.png	C:/Users/Marciano/Desktop/war/www.blogblog.com/1kt/transparent/black50.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:15	96/96	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Jul%202023%2004:51:34%20GMT	http://www.blogblog.com/1kt/transparent/white80.png	C:/Users/Marciano/Desktop/war/www.blogblog.com/1kt/transparent/white80.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:16	438/438	---M--	200	added ('OK')	image/png	etag:%221b6-63fa3060-bf7c52bc0467b9fb;;;%22	https://blogdoprofwarles.com/icone/up-arrow.png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/icone/up-arrow.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:17	422/422	---M--	200	added ('OK')	image/png	etag:%22v396%22	https://4.bp.blogspot.com/-93rQLhotTqQ/WBSG1DOUDVI/AAAAAAAAA5U/_gKkxX_8f0ccaAqKeTXvUFd-dnc7QBRXACLcB/s1600/house-outline.png	C:/Users/Marciano/Desktop/war/4.bp.blogspot.com/-93rQLhotTqQ/WBSG1DOUDVI/AAAAAAAAA5U/_gKkxX_8f0ccaAqKeTXvUFd-dnc7QBRXACLcB/s1600/house-outline.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:17	175/175	---M--	200	added ('OK')	image/png	etag:%22af-63fa6894-e69eb4f7d082fe1a;;;%22	https://blogdoprofwarles.com/icone/setamenucelular.png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/icone/setamenucelular.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:18	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14915%22	https://code.jquery.com/jquery-2.1.1.min.js	C:/Users/Marciano/Desktop/war/code.jquery.com/jquery-2.1.1.min.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:20	1/1	---MC-	200	added ('OK')	text/css	date:Sat,%2015%20Jul%202023%2012:33:22%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=1889094811806913160&zx=03596a9c-8795-4c2a-b1f4-d41b604bf8fb	C:/Users/Marciano/Desktop/war/www.blogger.com/dyn-css/authorization7dca.css	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:21	47/47	---M--	200	added ('OK')	text/javascript	etag:13036835877489095579	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Users/Marciano/Desktop/war/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:25	93637/93637	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216dc5-61b8fc0e-6ca16172c9f694dd;gz%22	https://blogdoprofwarles.com/JS/menu_jquery_bpw_vs2.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/menu_jquery_bpw_vs2.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:25	48729/48729	---M--	200	added ('OK')	image/png	etag:%22v19e%22	http://4.bp.blogspot.com/-OhOsxIlcg0k/Uoe13wJP35I/AAAAAAAAAZ0/kRGZPm56jm4/s1600/cooltext1287405770.png	C:/Users/Marciano/Desktop/war/4.bp.blogspot.com/-OhOsxIlcg0k/Uoe13wJP35I/AAAAAAAAAZ0/kRGZPm56jm4/s1600/cooltext1287405770.png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:25	13192/13192	---M-Z	200	added ('OK')	application/x-javascript	etag:%223388-61b8fc0d-572d9d2a2cef1d6;gz%22	https://blogdoprofwarles.com/JS/menu_carousel_bpw_vs2.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/menu_carousel_bpw_vs2.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:30	94020/94020	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-16f44%22	http://code.jquery.com/jquery-1.7.min.js	C:/Users/Marciano/Desktop/war/code.jquery.com/jquery-1.7.min.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:30	58757/58757	---M--	200	added ('OK')	text/javascript	etag:%22836d8ddebb79cab2%22	https://apis.google.com/js/platform.js	C:/Users/Marciano/Desktop/war/apis.google.com/js/platform.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:31	11475/11475	---M-Z	200	added ('OK')	text/css	etag:%222cd3-61b86d02-b105006d0c4ba27;gz%22	https://blogdoprofwarles.com/CSS/Bpw_Quiz_Sim_Style1.css	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/CSS/Bpw_Quiz_Sim_Style1.css	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:34	97116/97116	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217b5c-612d589d-cc14fcacabbab78d;gz%22	https://blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript5.js	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/JS/Bpw_Quiz_SimJavaScript5.js	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:43	62580/62580	---M--	200	added ('OK')	image/png	etag:%22f474-61379a33-94d0429a169d9e97;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img1_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img1_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:46	84054/84054	---M--	200	added ('OK')	image/png	etag:%2214856-61379a34-12f7b2dfadb0f4b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img2_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img2_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:47	118287/118287	---M--	200	added ('OK')	text/javascript	etag:1151855549613503403	https://pagead2.googlesyndication.com/pagead/show_ads.js	C:/Users/Marciano/Desktop/war/pagead2.googlesyndication.com/pagead/f.txt	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:47	173949/173949	---M--	200	added ('OK')	text/javascript	etag:16243496532465170372	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Users/Marciano/Desktop/war/pagead2.googlesyndication.com/pagead/js/f-2.txt	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:49	236958/236958	---M--	200	added ('OK')	image/png	etag:%2239d9e-61379a35-dede3e02c39d9f7b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img3_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img3_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:49	49888/49888	---M--	200	added ('OK')	image/png	etag:%22c2e0-61379a36-3e8da628ebf46b4f;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img4_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img4_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:50	77572/77572	---M--	200	added ('OK')	image/png	etag:%2212f04-61379a37-7c60b9802d05545b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img5_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img5_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
09:33:51	77854/77854	---M--	200	added ('OK')	image/png	etag:%221301e-61379a3b-ed8633e3f83c48b;;;%22	https://blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img7_quiz1_Port_3(E.F).png	C:/Users/Marciano/Desktop/war/blogdoprofwarles.com/Port/3%c2%b0AnoPort(EF)/img7_quiz1_Port_3(E.F).png	(from https://profwarles.blogspot.com/2017/04/quiz-1-portugues-3-ano.html)
